Type,Name,Description,Related Facility ID,Technique,Location,Contact Name,Contact Telephone,Contact URL,Contact Email,Secondary Contact Name,Secondary Contact Telephone,Secondary Contact URL,Secondary Contact Email,ID,Photo,Department,Site Location,Building,Service Level,Web Address
Equipment,Nano Imprint Lithography System,Nano Imprint Lithography System,,Lithography - Optical,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,139522439,,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W ANNEX,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Photo Lithography System,Photo Lithography System,,Lithography - Optical,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,138449434,,,"University of Bath, Claverton Down, Bath, BA2 7AY",3 W ANNEX,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Edwards Auto 306 Thermal Evaporator,4 Source Thermal Evaporator,,Thin Film Deposition - Evaporator,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190546059,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Edwards FL 400 Electron-Beam Evaporator,"4 Source Electron Beam Evaporator Sources include Au, Cu, Ti , Cr, SiO2, Al, Ni & Pd",,Thin Film Deposition - Evaporator,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190546046,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,EVG 620 NanoImprint Lithography,Nano Imprinting System: Capable of imprinting areas from 10 by 10 mm to 150 mm wafers. Accuracy guaranteed dwon to 50 nm. Suitable for a range of rigid substrates such as Si and quartz. ,,Lithography - Optical,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254939908,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Filmetrics reflectrometry system,Thickness measurement system with a measurement range of 15 nm to 70 um. ,,Characterisation - Profilometry,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254944623,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Headway Spin Coater x2,Spin coater with maximum speed of 7000 rpm. ,,Thin Film Deposition - Evaporator,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254940555,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,HHV 500 sputter coater,"3 Source DC/RF sputter coater: Al, AZO, Co,Cr,Cu, Fe2O3, ITO, Nb, Pt, Py (Ni-Fe), Si3N4, SiO2, Ta, Ti, TiO2, WO3, ZN, ZnO targets avaiable.",,Thin Film Deposition - Sputterer,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190545898,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Hitachi S4300 SEM,Thermal Emission SEM,,Electron Microscopy - Scanning,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254944466,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,MJB-3 Mask Aligner,"MJB3 UV contact mask-aligner.<br/>Capabilities: exposure of thin and thick resist materials, ultimate resolution ~ 1um, substrates up to 75mm in diameter, masks up to 100 mm x 100 mm in size.",,Lithography - Optical,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190546179,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Moorfield Minilab E-beam Evaporator,"8 Pocket Electron Beam Evaporator with load-lock sample mounting system for rapid processing turn-around. Sources include Au, Cu, Ti , Cr, SiO2, Al, Ni & Pd",,Thin Film Deposition - Evaporator,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254701105,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Moorfield Minilab Thermal Evaporator,4 Source Thermal Evaporator,,Thin Film Deposition - Evaporator,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254940414,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,OIPT Plasma Pro100 RIE/ICP,"Reactive Ion/Inductively Coupled Plasma Etcher. 4"" wafer load-locck system. Etch gases available: O2, Ar, CHF3, SiCl4, Cl2, BCl3, SF6",,"Etching - Plasma, Etching - Reactive Ion","https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190546113,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Phable 100M Talbot Displacement Lithography,"It is capable of the non-contact, submicron patterning of periodic patterns on areas up to 100 mm diameter.The theoretical resolution limit is a periodic pitch of approximately 200 nm, but the guaranteed pitch is 300 nm. The maximum pitch is approx. 4 microns. High-aspect ratio resist features are achievable and the machine also has an alignment capability.",,Lithography - Optical,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190546207,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Plasma Therm 790 PECVD,"Plasma enhanced chemical vapour deposition of various inorganic thin films e.g. SiO2, SiNx.",,Thin Film Deposition - Chemical Vapour Deposition,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190546156,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Raith Elphy Plus Electron Beam Lithography,Electron Beam Lithography System: Accelerating voltages 0.5 - 30 kV. 50 by 50 mm laser interferometric stage capable of writing over 50 mm wafers with < 80 nm accuracy. Capable of 20 nm line width.,,Lithography - Electron Beam,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,254940870,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
Equipment,Veeco 6M Dektak Surface Profiler,2-D step height measurement tool with capability of 10 nm accuracy.,,Characterisation - Profilometry,"https://en.wikipedia.org/wiki/Bath,_Somerset",,,,nanofab@bath.ac.uk,,,,,190545879,,,"University of Bath, Claverton Down, Bath, BA2 7AY",NANOFAB LAB,,https://www.bath.ac.uk/locations/david-bullett-nanofabrication-facility/
